name,type,value,date
黎赛留,Andriod,15600,2018-08-14
提尔比茨,iOS,14429,2018-08-14
贝尔法斯特,Andriod,14389,2018-08-14
突击者,Andriod,13618,2018-08-14
罗德尼,iOS,13493,2018-08-14
大青花鱼,iOS,13072,2018-08-14
长春,Andriod,12489,2018-08-14
阿拉斯加,iOS,11340,2018-08-14
维内托,iOS,8147,2018-08-14
胡德,Andriod,23528,2018-08-15
埃塞克斯,Andriod,23462,2018-08-15
俾斯麦,Andriod,22638,2018-08-15
列克星敦,iOS,19598,2018-08-15
皇家方舟,iOS,18724,2018-08-15
昆西,Andriod,18431,2018-08-15
欧根亲王,iOS,18154,2018-08-15
声望,Andriod,17622,2018-08-15
萨拉托加,Andriod,17247,2018-08-15
空想,Andriod,16986,2018-08-15
