name,type,value,date
昆西,Andriod,18766,2018-08-21
欧根亲王,iOS,18221,2018-08-21
声望,Andriod,17729,2018-08-21
萨拉托加,Andriod,17337,2018-08-21
空想,Andriod,17193,2018-08-21
海伦娜,Andriod,16322,2018-08-21
纳尔逊,Andriod,15996,2018-08-21
黎赛留,Andriod,15747,2018-08-21
贝尔法斯特,Andriod,14586,2018-08-21
提尔比茨,iOS,14534,2018-08-21
罗德尼,iOS,13824,2018-08-21
突击者,Andriod,13703,2018-08-21
大青花鱼,iOS,13179,2018-08-21
长春,Andriod,12710,2018-08-21
阿拉斯加,iOS,11705,2018-08-21
维内托,iOS,8455,2018-08-21
胡德,Andriod,23631,2018-08-22
埃塞克斯,Andriod,23577,2018-08-22
俾斯麦,Andriod,22988,2018-08-22
列克星敦,iOS,19785,2018-08-22
皇家方舟,iOS,18897,2018-08-22
昆西,Andriod,18849,2018-08-22
欧根亲王,iOS,18227,2018-08-22
声望,Andriod,17744,2018-08-22
萨拉托加,Andriod,17358,2018-08-22
空想,Andriod,17283,2018-08-22
海伦娜,Andriod,16336,2018-08-22
纳尔逊,Andriod,15996,2018-08-22
黎赛留,Andriod,15747,2018-08-22
贝尔法斯特,Andriod,14843,2018-08-22
提尔比茨,iOS,14620,2018-08-22
罗德尼,iOS,13923,2018-08-22
突击者,Andriod,13743,2018-08-22
大青花鱼,iOS,13189,2018-08-22
长春,Andriod,12840,2018-08-22
阿拉斯加,iOS,11713,2018-08-22
维内托,iOS,8541,2018-08-22
埃塞克斯,Andriod,23675,2018-08-23
胡德,Andriod,23631,2018-08-23
俾斯麦,Andriod,23003,2018-08-23
列克星敦,iOS,19785,2018-08-23
皇家方舟,iOS,18930,2018-08-23
昆西,Andriod,18849,2018-08-23
欧根亲王,iOS,18238,2018-08-23
声望,Andriod,17759,2018-08-23
萨拉托加,Andriod,17401,2018-08-23
空想,Andriod,17302,2018-08-23
海伦娜,Andriod,16360,2018-08-23
纳尔逊,Andriod,16094,2018-08-23
黎赛留,Andriod,15747,2018-08-23
贝尔法斯特,Andriod,14862,2018-08-23
提尔比茨,iOS,14620,2018-08-23
罗德尼,iOS,13978,2018-08-23
突击者,Andriod,13783,2018-08-23
大青花鱼,iOS,13197,2018-08-23
长春,Andriod,12840,2018-08-23
阿拉斯加,iOS,11720,2018-08-23
维内托,iOS,8553,2018-08-23
埃塞克斯,Andriod,23706,2018-08-24
胡德,Andriod,23631,2018-08-24
俾斯麦,Andriod,23010,2018-08-24
列克星敦,iOS,19785,2018-08-24
皇家方舟,iOS,18940,2018-08-24
昆西,Andriod,18849,2018-08-24
欧根亲王,iOS,18245,2018-08-24
声望,Andriod,17775,2018-08-24
萨拉托加,Andriod,17432,2018-08-24
空想,Andriod,17319,2018-08-24
海伦娜,Andriod,16468,2018-08-24
纳尔逊,Andriod,16111,2018-08-24
黎赛留,Andriod,15747,2018-08-24
贝尔法斯特,Andriod,14862,2018-08-24
提尔比茨,iOS,14656,2018-08-24
罗德尼,iOS,13996,2018-08-24
突击者,Andriod,13797,2018-08-24
大青花鱼,iOS,13208,2018-08-24
长春,Andriod,12907,2018-08-24
阿拉斯加,iOS,11725,2018-08-24
维内托,iOS,8591,2018-08-24
埃塞克斯,Andriod,23728,2018-08-25
胡德,Andriod,23639,2018-08-25
俾斯麦,Andriod,23028,2018-08-25
列克星敦,iOS,19785,2018-08-25
皇家方舟,iOS,18979,2018-08-25
昆西,Andriod,18862,2018-08-25
欧根亲王,iOS,18258,2018-08-25
声望,Andriod,17785,2018-08-25
萨拉托加,Andriod,17432,2018-08-25
空想,Andriod,17360,2018-08-25
海伦娜,Andriod,16474,2018-08-25
纳尔逊,Andriod,16126,2018-08-25
